date	billions	billions-2005
2007-10	14,253.2	13,326.0
2008-01	14,273.9	13,266.8
2008-04	14,415.5	13,310.5
2008-07	14,395.1	13,186.9
2008-10	14,081.7	12,883.5
2009-01	13,923.4	12,711.0
2009-04	13,885.4	12,701.0
2009-07	13,952.2	12,746.7
2009-10	14,133.6	12,873.1
2010-01	14,270.3	12,947.6
2010-04	14,413.5	13,019.6
2010-07	14,576.0	13,103.5
2010-10	14,735.9	13,181.2
2011-01	14,814.9	13,183.8
2011-04	15,003.6	13,264.7
2011-07	15,163.2	13,306.9
2011-10	15,321.0	13,441.0
2012-01	15,478.3	13,506.4
2012-04	15,585.6	13,548.5
