Year,Individual income,Corporate Income,Social Insurance,Excise,Estate and Gift,Customs Duties,Miscellaneous Receipts,Total
1972,94.7,32.2,52.6,15.5,5.4,3.3,3.6,207.3
1973,103.2,36.2,63.1,16.3,4.9,3.2,3.9,230.8
1974,119.0,38.6,75.1,16.8,5.0,3.3,5.4,263.2
1975,122.4,40.6,84.5,16.6,4.6,3.7,6.7,279.1
1976,131.6,41.4,90.8,17.0,5.2,4.1,8.0,298.1
1977,157.6,54.9,106.5,17.5,7.3,5.2,6.5,355.6
1978,181.0,60.0,121.0,18.4,5.3,6.6,7.4,399.6
1979,217.8,65.7,138.9,18.7,5.4,7.4,9.3,463.3
1980,244.1,64.6,157.8,24.3,6.4,7.2,12.7,517.1
1981,285.9,61.1,182.7,40.8,6.8,8.1,13.8,599.3
1982,297.7,49.2,201.5,36.3,8.0,8.9,16.2,617.8
1983,288.9,37.0,209.0,35.3,6.1,8.7,15.6,600.6
1984,298.4,56.9,239.4,37.4,6.0,11.4,17.0,666.4
1985,334.5,61.3,265.2,36.0,6.4,12.1,18.5,734.0
1986,349.0,63.1,283.9,32.9,7.0,13.3,19.9,769.2
1987,392.6,83.9,303.3,32.5,7.5,15.1,19.5,854.3
1988,401.2,94.5,334.3,35.2,7.6,16.2,20.2,909.2
1989,445.7,103.3,359.4,34.4,8.7,16.3,23.2,991.1
1990,466.9,93.5,380.0,35.3,11.5,16.7,28.0,"1,032.0"
1991,467.8,98.1,396.0,42.4,11.1,15.9,23.6,"1,055.0"
1992,476.0,100.3,413.7,45.6,11.1,17.4,27.2,"1,091.2"
1993,509.7,117.5,428.3,48.1,12.6,18.8,19.4,"1,154.3"
1994,543.1,140.4,461.5,55.2,15.2,20.1,23.1,"1,258.6"
1995,590.2,157.0,484.5,57.5,14.8,19.3,28.5,"1,351.8"
1996,656.4,171.8,509.4,54.0,17.2,18.7,25.5,"1,453.1"
1997,737.5,182.3,539.4,56.9,19.8,17.9,25.4,"1,579.2"
1998,828.6,188.7,571.8,57.7,24.1,18.3,32.6,"1,721.7"
1999,879.5,184.7,611.8,70.4,27.8,18.3,34.9,"1,827.5"
2000,"1,004.5",207.3,652.9,68.9,29.0,19.9,42.8,"2,025.2"
2001,994.3,151.1,694.0,66.2,28.4,19.4,37.7,"1,991.1"
2002,858.3,148.0,700.8,67.0,26.5,18.6,33.9,"1,853.1"
2003,793.7,131.8,713.0,67.5,22.0,19.9,34.5,"1,782.3"
2004,809.0,189.4,733.4,69.9,24.8,21.1,32.6,"1,880.1"
2005,927.2,278.3,794.1,73.1,24.8,23.4,32.7,"2,153.6"
2006,"1,043.9",353.9,837.8,74.0,27.9,24.8,44.6,"2,406.9"
2007,"1,163.5",370.2,869.6,65.1,26.0,26.0,47.5,"2,568.0"
2008,"1,145.7",304.3,900.2,67.3,28.8,27.6,50.0,"2,524.0"
2009,915.3,138.2,890.9,62.5,23.5,22.5,52.1,"2,105.0"
2010,898.5,191.4,864.8,66.9,18.9,25.3,96.8,"2,162.7"
2011,"1,091.5",181.1,818.8,72.4,7.4,29.5,101.8,"2,302.5"
